keyword,vertical,cluster,audience,bca_fit,vol_ahrefs,vol_googleads,cpc_usd,kd,bca_pos,bca_url,pos_source,sources
hilltopads alternative,Cross-vertical,Competitor alternatives,Advertiser / media buyer,Core,,10,48.43,,,,,dfs_googleads
propellerads alternative,Cross-vertical,Competitor alternatives,Advertiser / media buyer,Core,,10,,,,,,dfs_googleads
igaming seo agency,iGaming,Agency-intent capture,Advertiser / media buyer,High,1000,,4.5,40,,,,ahrefs_comp_hilltopads
igaming marketing agency,iGaming,Agency-intent capture,Advertiser / media buyer,High,400,50,15.1,0,14,/post/igaming-marketing-agency,live SERP 07-28,"ahrefs_comp_hilltopads, ahrefs_mt_igaming, dfs_googleads"
sportsbook marketing services,Betting,Agency-intent capture,Advertiser / media buyer,High,250,,,4,,,,ahrefs_mt_betting
google ads gambling policy news,Gambling,Compliance & platform policy,Advertiser / media buyer,High,200,,,,,,,ahrefs_mt_gambling
igaming crm marketing solutions,iGaming,Agency-intent capture,Advertiser / media buyer,High,150,,,,,,,ahrefs_mt_igaming
igaming digital marketing agency,iGaming,Agency-intent capture,Advertiser / media buyer,High,150,,,24,,,,"ahrefs_comp_hilltopads, ahrefs_mt_igaming"
gambling marketing agency,Gambling,Agency-intent capture,Advertiser / media buyer,High,150,30,,52,,,,"ahrefs_mt_gambling, dfs_googleads"
casino marketing agency,Casino,Agency-intent capture,Advertiser / media buyer,High,150,50,,53,22,/post/igaming-marketing-agency,GSC 28d,"ahrefs_mt_casino, dfs_googleads"
casino digital marketing agency,Casino,Agency-intent capture,Advertiser / media buyer,High,150,,,53,20,/post/igaming-marketing-agency,GSC 28d,ahrefs_mt_casino
igaming digital agency,iGaming,Agency-intent capture,Advertiser / media buyer,High,150,,,13,,,,ahrefs_comp_hilltopads
gambling advertising regulations,Gambling,Compliance & platform policy,Advertiser / media buyer,High,100,,,61,,,,ahrefs_mt_gambling
betting company marketing agency,Betting,Agency-intent capture,Advertiser / media buyer,High,100,,,60,,,,ahrefs_mt_betting
online betting marketing agency,Betting,Agency-intent capture,Advertiser / media buyer,High,100,,,57,,,,ahrefs_mt_betting
igaming agency,iGaming,Agency-intent capture,Advertiser / media buyer,High,100,,,16,,,,ahrefs_comp_hilltopads
google ads gambling policy,Gambling,Compliance & platform policy,Advertiser / media buyer,High,90,,,60,7,/post/gambling-ads-google-policy,GSC 28d,ahrefs_mt_gambling
online casino marketing agency,Casino,Agency-intent capture,Advertiser / media buyer,High,90,,,61,15,/post/igaming-marketing-agency,GSC 28d,ahrefs_mt_casino
igaming marketing services,iGaming,Agency-intent capture,Advertiser / media buyer,High,70,,,28,,,,ahrefs_mt_igaming
google ads gambling policy update,Gambling,Compliance & platform policy,Advertiser / media buyer,High,70,,,,,,,ahrefs_mt_gambling
meta ads policy gambling news,Gambling,Compliance & platform policy,Advertiser / media buyer,High,70,,,,,,,ahrefs_mt_gambling
best casino ads,Casino,Ad examples & creatives,Advertiser / media buyer,High,70,,,,,,,ahrefs_mt_casino
sports betting advertising regulation,Betting,Compliance & platform policy,Advertiser / media buyer,High,70,,,24,,,,ahrefs_mt_betting
can you advertise gambling on google,Gambling,Compliance & platform policy,Advertiser / media buyer,High,60,,,,,,,ahrefs_mt_gambling
sports betting marketing agency,Betting,Agency-intent capture,Advertiser / media buyer,High,60,,,39,,,,ahrefs_mt_betting
google ads gambling and games policy,Gambling,Compliance & platform policy,Advertiser / media buyer,High,50,,,,,,,ahrefs_mt_gambling
casino advertising agency,Casino,Agency-intent capture,Advertiser / media buyer,High,50,,,58,,,,ahrefs_mt_casino
casino seo marketing services,Casino,Agency-intent capture,Advertiser / media buyer,High,50,,,,,,,ahrefs_mt_casino
casino advertising examples,Casino,Ad examples & creatives,Advertiser / media buyer,High,50,,,39,,,,ahrefs_mt_casino
betting marketing agency,Betting,Agency-intent capture,Advertiser / media buyer,High,50,,,61,16,/post/igaming-marketing-agency,GSC 28d,ahrefs_mt_betting
igaming marketing company,iGaming,Agency-intent capture,Advertiser / media buyer,High,40,,,40,,,,ahrefs_mt_igaming
tiktok advertising policy gambling,Gambling,Compliance & platform policy,Advertiser / media buyer,High,40,,,,,,,ahrefs_mt_gambling
responsible gambling advertising,Gambling,Compliance & platform policy,Advertiser / media buyer,High,40,,,,,,,ahrefs_mt_gambling
igaming growth marketing agency,iGaming,Agency-intent capture,Advertiser / media buyer,High,30,,,0,,,,ahrefs_mt_igaming
igaming content marketing agency,iGaming,Agency-intent capture,Advertiser / media buyer,High,30,,,0,,,,ahrefs_mt_igaming
gambling advertising regulations united states,Gambling,Compliance & platform policy,Advertiser / media buyer,High,30,,,,,,,ahrefs_mt_gambling
google ads gambling certification,Gambling,Compliance & platform policy,Advertiser / media buyer,High,30,,,,,,,ahrefs_mt_gambling
gambling digital marketing agency,Gambling,Agency-intent capture,Advertiser / media buyer,High,30,,,62,,,,ahrefs_mt_gambling
gambling and casino marketing agencies,Casino,Agency-intent capture,Advertiser / media buyer,High,30,,,,,,,ahrefs_mt_gambling
casino marketing services,Casino,Agency-intent capture,Advertiser / media buyer,High,30,,,39,,,,ahrefs_mt_casino
sportsbook marketing solutions,Betting,Agency-intent capture,Advertiser / media buyer,High,30,,,,,,,ahrefs_mt_betting
sports betting ads examples,Betting,Ad examples & creatives,Advertiser / media buyer,High,30,,,,,,,ahrefs_mt_betting
igaming marketing agencies,iGaming,Agency-intent capture,Advertiser / media buyer,High,20,,,,,,,ahrefs_mt_igaming
igaming digital marketing services,iGaming,Agency-intent capture,Advertiser / media buyer,High,20,,,14,,,,ahrefs_mt_igaming
creative gambling ads,Gambling,Ad examples & creatives,Advertiser / media buyer,High,20,,,,,,,ahrefs_mt_gambling
best gambling ads,Gambling,Ad examples & creatives,Advertiser / media buyer,High,20,,,,,,,ahrefs_mt_gambling
gambling creatives,Gambling,Ad examples & creatives,Advertiser / media buyer,High,20,,,,,,,ahrefs_mt_gambling
online gambling certificate google ads,Gambling,Compliance & platform policy,Advertiser / media buyer,High,20,,,,,,,ahrefs_mt_gambling
compliant gambling advertising,Gambling,Compliance & platform policy,Advertiser / media buyer,High,20,,,,,,,ahrefs_mt_gambling
facebook gambling ads policy,Gambling,Compliance & platform policy,Advertiser / media buyer,High,20,,,,,,,ahrefs_mt_gambling
gambling advertising examples,Gambling,Ad examples & creatives,Advertiser / media buyer,High,20,,,,10,/post/gambling-advertising,GSC 28d,ahrefs_mt_gambling
casino marketing consulting,Casino,Agency-intent capture,Advertiser / media buyer,High,20,,,41,,,,ahrefs_mt_casino
google ads casino policy,Casino,Compliance & platform policy,Advertiser / media buyer,High,20,,,,,,,ahrefs_mt_casino
casino ads examples,Casino,Ad examples & creatives,Advertiser / media buyer,High,20,,,,,,,ahrefs_mt_casino
marketing agency for sports betting,Betting,Agency-intent capture,Advertiser / media buyer,High,20,,,,,,,ahrefs_mt_betting
sportsbook digital marketing agency,Betting,Agency-intent capture,Advertiser / media buyer,High,20,,,,,,,ahrefs_mt_betting
igaming event marketing agency,iGaming,Agency-intent capture,Advertiser / media buyer,High,10,,,,,,,ahrefs_mt_igaming
gambling advertising rules,Gambling,Compliance & platform policy,Advertiser / media buyer,High,10,,,,,,,ahrefs_mt_gambling
guide to compliant gambling advertising,Gambling,Compliance & platform policy,Advertiser / media buyer,High,10,,,,,,,ahrefs_mt_gambling
google ads gambling certification apply,Gambling,Compliance & platform policy,Advertiser / media buyer,High,10,,,,,,,ahrefs_mt_gambling
google ads gambling license,Gambling,Compliance & platform policy,Advertiser / media buyer,High,10,,,,,,,ahrefs_mt_gambling
gambling ads examples,Gambling,Ad examples & creatives,Advertiser / media buyer,High,10,,,,,,,ahrefs_mt_gambling
microsoft advertising gambling policy,Gambling,Compliance & platform policy,Advertiser / media buyer,High,10,,,,,,,ahrefs_mt_gambling
taboola advertising policy gambling,Gambling,Compliance & platform policy,Advertiser / media buyer,High,10,,,,,,,ahrefs_mt_gambling
google ads online gambling allowed countries,Gambling,Compliance & platform policy,Advertiser / media buyer,High,10,,,,,,,ahrefs_mt_gambling
crypto casino marketing agency,Casino,Agency-intent capture,Advertiser / media buyer,High,10,,,24,,,,ahrefs_mt_casino
social casino certificate google ads,Casino,Compliance & platform policy,Advertiser / media buyer,High,10,,,,,,,ahrefs_mt_casino
creative casino ads,Casino,Ad examples & creatives,Advertiser / media buyer,High,10,,,,,,,ahrefs_mt_casino
sportsbook marketing agency,Betting,Agency-intent capture,Advertiser / media buyer,High,10,,,,,,,ahrefs_mt_betting
betting email marketing services,Betting,Agency-intent capture,Advertiser / media buyer,High,10,,,,,,,ahrefs_mt_betting
sportsbook marketing,Betting,Marketing strategy & guides,Operator,Medium,70,6600,21.85,38,,,,"ahrefs_mt_betting, dfs_googleads"
best casino affiliate programs,Casino,Affiliate programs & marketing,Affiliate (media buyer),Medium,3100,,4.34,67,,,,ahrefs_comp_richads
igaming marketing,iGaming,Marketing strategy & guides,Operator,Medium,700,70,12.25,15,,,,"ahrefs_comp_richads, ahrefs_mt_igaming, dfs_googleads"
igaming seo,iGaming,Marketing strategy & guides,Operator,Medium,,390,7.69,,,,,dfs_googleads
casino marketing,Casino,Marketing strategy & guides,Operator,Medium,350,,,47,18,/post/casino-marketing-strategies,GSC 28d,ahrefs_mt_casino
how to start a online casino business,Casino,Operator setup,Operator,Medium,350,,1.43,56,,,,ahrefs_comp_richads
igaming affiliate marketing,iGaming,Affiliate programs & marketing,Affiliate (media buyer),Medium,300,70,16.39,20,,,,"ahrefs_comp_richads, ahrefs_mt_igaming, dfs_googleads"
igaming digital marketing,iGaming,Marketing strategy & guides,Operator,Medium,300,,,21,,,,"ahrefs_comp_hilltopads, ahrefs_mt_igaming"
casino affiliate program,Casino,Affiliate programs & marketing,Affiliate (media buyer),Medium,300,,3.5,61,26,/post/casino-affiliate-marketing,DFS index,ahrefs_mt_casino
how to start an online casino,Casino,Operator setup,Operator,Medium,300,,10.62,56,,,,ahrefs_comp_richads
casino affiliate programs,Casino,Affiliate programs & marketing,Affiliate (media buyer),Medium,300,,0.09,66,16,/post/casino-affiliate-marketing,GSC 28d,ahrefs_comp_richads
igaming content marketing,iGaming,Marketing strategy & guides,Operator,Medium,200,,,1,,,,ahrefs_mt_igaming
gambling affiliate program,Gambling,Affiliate programs & marketing,Affiliate (media buyer),Medium,200,,,65,,,,"ahrefs_comp_richads, ahrefs_mt_gambling"
online gambling affiliate marketing,Gambling,Affiliate programs & marketing,Affiliate (media buyer),Medium,200,,,51,,,,"ahrefs_comp_richads, ahrefs_mt_gambling"
casino marketing ideas,Casino,Marketing strategy & guides,Operator,Medium,200,,,55,,,,ahrefs_mt_casino
affiliate casino program,Casino,Affiliate programs & marketing,Affiliate (media buyer),Medium,200,,3.5,68,,,,ahrefs_mt_casino
sports betting marketing strategies,Betting,Marketing strategy & guides,Operator,Medium,200,,,56,,,,ahrefs_mt_betting
online sportsbook marketing,Betting,Marketing strategy & guides,Operator,Medium,200,,,16,,,,ahrefs_mt_betting
casino affiliate programme,Casino,Affiliate programs & marketing,Affiliate (media buyer),Medium,200,,,58,,,,ahrefs_comp_richads
affiliate casino programs,Casino,Affiliate programs & marketing,Affiliate (media buyer),Medium,200,,,68,,,,ahrefs_comp_richads
gambling affiliate programs,Gambling,Affiliate programs & marketing,Affiliate (media buyer),Medium,200,,,52,,,,ahrefs_comp_richads
casino affiliate,Casino,Affiliate programs & marketing,Affiliate (media buyer),Medium,200,,4.75,68,,,,ahrefs_comp_richads
online casino affiliates,Casino,Affiliate programs & marketing,Affiliate (media buyer),Medium,200,,4.06,64,,,,ahrefs_comp_richads
igaming affiliate program,iGaming,Affiliate programs & marketing,Affiliate (media buyer),Medium,150,,1.5,41,,,,ahrefs_mt_igaming
igaming crm marketing tools,iGaming,Marketing strategy & guides,Operator,Medium,150,,,,,,,ahrefs_mt_igaming
igaming affiliate,iGaming,Affiliate programs & marketing,Affiliate (media buyer),Medium,150,,1.03,21,,,,"ahrefs_comp_richads, ahrefs_mt_igaming"
igaming affiliate programs,iGaming,Affiliate programs & marketing,Affiliate (media buyer),Medium,150,,1.5,54,,,,ahrefs_mt_igaming
affiliate igaming,iGaming,Affiliate programs & marketing,Affiliate (media buyer),Medium,150,,,,,,,ahrefs_mt_igaming
igaming affiliate news,iGaming,Affiliate programs & marketing,Affiliate (media buyer),Medium,150,,,12,,,,ahrefs_mt_igaming
igaming affiliate network,iGaming,Affiliate programs & marketing,Affiliate (media buyer),Medium,150,,,,,,,ahrefs_mt_igaming
igaming affiliate list,iGaming,Affiliate programs & marketing,Affiliate (media buyer),Medium,150,,,,,,,ahrefs_mt_igaming
affiliate marketing igaming,iGaming,Affiliate programs & marketing,Affiliate (media buyer),Medium,150,,,20,,,,ahrefs_mt_igaming
gambling marketing,Gambling,Marketing strategy & guides,Operator,Medium,150,,,45,,,,ahrefs_mt_gambling
gambling affiliate marketing,Gambling,Affiliate programs & marketing,Affiliate (media buyer),Medium,150,,,51,,,,"ahrefs_comp_richads, ahrefs_mt_gambling"
affiliate marketing gambling,Gambling,Affiliate programs & marketing,Affiliate (media buyer),Medium,150,,,48,13,/post/casino-affiliate-marketing,GSC 28d,ahrefs_mt_gambling
casino digital marketing,Casino,Marketing strategy & guides,Operator,Medium,150,30,,47,26,/post/casino-marketing-strategies,GSC 28d,"ahrefs_mt_casino, dfs_googleads"
online casino affiliate marketing,Casino,Affiliate programs & marketing,Affiliate (media buyer),Medium,150,,4.0,44,,,,"ahrefs_comp_richads, ahrefs_mt_casino"
online casino marketing strategy,Casino,Marketing strategy & guides,Operator,Medium,150,,,55,,,,ahrefs_mt_casino
casino marketing plan,Casino,Marketing strategy & guides,Operator,Medium,150,,,60,,,,ahrefs_mt_casino
casino affiliate marketing,Casino,Affiliate programs & marketing,Affiliate (media buyer),Medium,150,40,,41,20,/post/casino-affiliate-marketing,GSC 28d,"ahrefs_comp_richads, ahrefs_mt_casino, dfs_googleads"
online casino marketing,Casino,Marketing strategy & guides,Operator,Medium,150,,,57,,,,ahrefs_mt_casino
sports betting marketing,Betting,Marketing strategy & guides,Operator,Medium,150,,,45,,,,ahrefs_mt_betting
betting affiliate program,Betting,Affiliate programs & marketing,Affiliate (media buyer),Medium,150,,,53,,,,"ahrefs_comp_richads, ahrefs_mt_betting"
best gambling affiliate programs,Gambling,Affiliate programs & marketing,Affiliate (media buyer),Medium,150,,,47,,,,ahrefs_comp_richads
sports betting affiliate programs,Betting,Affiliate programs & marketing,Affiliate (media buyer),Medium,150,,6.98,54,,,,ahrefs_comp_richads
casino affiliates,Casino,Affiliate programs & marketing,Affiliate (media buyer),Medium,150,,5.85,56,,,,ahrefs_comp_richads
betting affiliate,Betting,Affiliate programs & marketing,Affiliate (media buyer),Medium,150,,,0,,,,ahrefs_comp_richads
personalized marketing for igaming,iGaming,Marketing strategy & guides,Operator,Medium,100,,,,,,,ahrefs_mt_igaming
crm marketing for igaming,iGaming,Marketing strategy & guides,Operator,Medium,100,,,,,,,ahrefs_mt_igaming
online casino affiliate program,Casino,Affiliate programs & marketing,Affiliate (media buyer),Medium,100,,7.0,67,,,,ahrefs_mt_casino
affiliate program casino,Casino,Affiliate programs & marketing,Affiliate (media buyer),Medium,100,,2.5,60,13,/post/casino-affiliate-marketing,DFS index,ahrefs_mt_casino
casino marketing software,Casino,Marketing strategy & guides,Operator,Medium,100,,,71,,,,ahrefs_mt_casino
best casino affiliate program,Casino,Affiliate programs & marketing,Affiliate (media buyer),Medium,100,,,55,,,,"ahrefs_comp_richads, ahrefs_mt_casino"
sports betting affiliate marketing,Betting,Affiliate programs & marketing,Affiliate (media buyer),Medium,100,,,47,,,,"ahrefs_comp_richads, ahrefs_mt_betting"
sports betting affiliate program,Betting,Affiliate programs & marketing,Affiliate (media buyer),Medium,100,,7.0,51,,,,ahrefs_mt_betting
how to start an online gambling business,Gambling,Operator setup,Operator,Medium,100,,1.58,48,,,,ahrefs_comp_richads
gambling affiliate,Gambling,Affiliate programs & marketing,Affiliate (media buyer),Medium,100,,8.19,53,,,,ahrefs_comp_richads
affiliate gambling,Gambling,Affiliate programs & marketing,Affiliate (media buyer),Medium,100,,,60,,,,ahrefs_comp_richads
sportsbook affiliate program,Betting,Affiliate programs & marketing,Affiliate (media buyer),Medium,100,,2.24,34,,,,ahrefs_comp_richads
sportsbook affiliate programs,Betting,Affiliate programs & marketing,Affiliate (media buyer),Medium,100,,1.17,42,,,,ahrefs_comp_richads
igaming affiliate marketing programs,iGaming,Affiliate programs & marketing,Affiliate (media buyer),Medium,90,,,,,,,ahrefs_mt_igaming
marketing automation igaming,iGaming,Marketing strategy & guides,Operator,Medium,90,,,,,,,ahrefs_mt_igaming
affiliate marketing casino,Casino,Affiliate programs & marketing,Affiliate (media buyer),Medium,90,,,,,,,ahrefs_mt_casino
top casino affiliate program,Casino,Affiliate programs & marketing,Affiliate (media buyer),Medium,90,,,,,,,ahrefs_mt_casino
seo casino marketing,Casino,Marketing strategy & guides,Operator,Medium,90,,,65,,,,ahrefs_mt_casino
sports betting affiliates,Betting,Affiliate programs & marketing,Affiliate (media buyer),Medium,90,,5.7,53,,,,ahrefs_comp_richads
marketing igaming,iGaming,Marketing strategy & guides,Operator,Medium,80,,,,,,,ahrefs_mt_igaming
